DESCRIPTION;FILEPATH;CATEGORY;EMOTIONS;SHORT DESCRIPTION;ALTERNATIVE VIDEO;DURATION;
she smiles faintly, eyes a little wet, from a tender old memory.;;Nostalgic;Nostalgia, Emotion;Emotional nostalgic faint smile.; ;; 
she lightly presses a hand to her chest, cherishing the memory.;;Nostalgic;Nostalgia, Love;Cherishing heart-touch nostalgia.; ;; 
she laughs silently once, shaking her head as if at an old, funny moment.;;Nostalgic;Nostalgia, Joy;Soft nostalgic laugh at past.; ;; 
;;;;;;;
she slowly rubs her eyes as if tired, then blinks heavily.;;Tired;Tiredness;Rubbing eyes tired gesture.; ;; 
she yawns silently, covering her mouth with the back of her hand.;;Tired;Tiredness;Silent covered yawn.; ;; 
she rolls her shoulders back sluggishly, trying to wake herself up.;;Tired;Tiredness, LowEnergy;Sluggish shoulder roll fatigue.; ;; 
she props her head up with her hand, eyelids drooping.;;Tired;Tiredness;Head-in-hand sleepy posture.; ;; 
she stretches her neck slowly from side to side in fatigue.;;Tired;Tiredness, Discomfort;Neck stretch tiredness.; ;; 
she blinks slowly several times, fighting drowsiness.;;Tired;Tiredness;Slow blinking sleepy look.; ;; 
she lets out a long, silent sigh, shoulders sagging.;;Tired;Tiredness, Resignation;Long sigh of exhaustion.; ;; 
she leans back more into her seat, sinking into it.;;Tired;Tiredness, LowEnergy;Sinking back in fatigue.; ;; 
she massages her temples gently as if dealing with mental fatigue.;;Tired;Tiredness, Stress;Temple massage tired stress.; ;; 
she smiles weakly, clearly worn out but still present.;;Tired;Tiredness, Endurance;Weak but enduring tired smile.; ;; 
;;;;;;;
she furrows her brow and tilts her head, clearly confused.;;Confused;Confusion;Basic head-tilt confusion.; ;; 
she looks from side to side as if searching for context.;;Confused;Confusion, Uncertainty;Looking around in confusion.; ;; 
she opens her mouth slightly, then closes it, unsure what to say.;;Confused;Confusion, Hesitation;Hesitating, speechless confusion.; ;; 
she raises one eyebrow while squinting slightly, puzzled.;;Confused;Confusion, Curiosity;Raised-brow puzzled look.; ;; 
she gestures lightly with one hand, palm up, as if asking “what do you mean?”.;;Confused;Confusion, Question;Palm-up “what do you mean” gesture.; ;; 
she scratches her head lightly, brows furrowed.;;Confused;Confusion, Awkwardness;Head scratch confused reaction.; ;; 
she leans closer to the camera with a puzzled expression, seeking clarification.;;Confused;Confusion, Curiosity;Leaning-in to understand better.; ;; 
she glances at an invisible object, then back, clearly not following.;;Confused;Confusion;Not following, double-take confusion.; ;; 
she tilts her head to the other side, trying to re-evaluate.;;Confused;Confusion, Thoughtfulness;Re-thinking second head tilt.; ;; 
she gives a small shrug with both hands slightly raised, admitting she doesn’t get it.;;Confused;Confusion, Acceptance;Shrugging “I don’t know” confusion.; ;; 
;;;;;;;
her eyes widen in awe, mouth opening slightly in amazement.;;Amazed;Amazement, Joy;Simple awestruck expression.; ;; 
she leans forward, eyebrows high, clearly impressed by what she sees.;;Amazed;Amazement, Surprise;Impressed lean-in amazement.; ;; 
she places a hand on her chest with an astonished smile.;;Amazed;Amazement, Emotion;Touched amazement hand-to-chest.; ;; 
she looks around as if the whole scene is incredible, smiling broadly.;;Amazed;Amazement, Joy;Looking around in wide amazement.; ;; 
she briefly covers her mouth with her fingers, eyes sparkling with wonder.;;Amazed;Amazement, Delight;Hand-covered delighted amazement.; ;; 
she straightens her posture, eyes shining, as if witnessing something epic.;;Amazed;Amazement, Excitement;Epic-scale amazed posture.; ;; 
she laughs silently once, shaking her head like she can’t believe it.;;Amazed;Amazement, Joy, Disbelief;Joyful can’t-believe-it laugh.; ;; 
she gestures outward with both hands as if presenting something incredible.;;Amazed;Amazement, Pride;Presenting something amazing gesture.; ;; 
she looks upward with a soft, amazed smile, as if inspired.;;Amazed;Amazement, Inspiration;Looking up in inspired amazement.; ;; 
she claps slowly with a huge smile, clearly blown away.;;Amazed;Amazement, Joy;Slow clap of being amazed.; ;; 
;;;;;;;
she sits a bit straighter but looks around as if no one is there for her.;;Lonely;Loneliness, Sadness;Lonely, searching gaze.; ;; 
she folds her arms lightly across her body, holding herself.;;Lonely;Loneliness, Vulnerability;Lonely self-hug posture.; ;; 
she looks at the camera, then down, with a small sad smile.;;Lonely;Loneliness, Sadness;Sad lonely smile.; ;; 
she glances to the side at an empty space, then back with a hollow look.;;Lonely;Loneliness, Emptiness;Empty-space lonely glance.; ;; 
she wraps her hands around an imaginary warm cup, seeking comfort.;;Lonely;Loneliness, Comfort;Imaginary cup comfort gesture.; ;; 
she exhales quietly, lips barely moving, clearly feeling alone.;;Lonely;Loneliness, Resignation;Quiet resigned loneliness.; ;; 
she hugs her knees slightly closer in, if seated, or folds inward subtly.;;Lonely;Loneliness, Vulnerability;Folding inward lonely gesture.; ;; 
she gives a tiny hopeful smile, as if glad the user is there.;;Lonely;Loneliness, Hope;Hopeful smile despite loneliness.; ;; 
she touches her chest and then gestures faintly outward, wishing for connection.;;Lonely;Loneliness, Desire;Wanting connection lonely gesture.; ;; 
she looks at the viewer for a bit longer, grateful but still lonely.;;Lonely;Loneliness, Gratitude;Grateful yet lonely gaze.; ;; 
;;;;;;;
she narrows her eyes slightly, lips pressed, clearly skeptical.;;Skeptical;Skepticism;Basic skeptical narrowed-eye look.; ;; 
she raises one eyebrow and tilts her head, unconvinced.;;Skeptical;Skepticism, Doubt;Raised-brow doubting expression.; ;; 
she leans back slightly, crossing her arms loosely, still not buying it.;;Skeptical;Skepticism, Caution;Leaning-back skeptical posture.; ;; 
she glances sideways, lips curled in a half-smirk of doubt.;;Skeptical;Skepticism, Disbelief;Side-glance doubtful smirk.; ;; 
she taps her fingers lightly, clearly thinking “really?”.;;Skeptical;Skepticism, Suspicion;Finger-tap “really?” skepticism.; ;; 
she looks over imaginary glasses, giving a judging look.;;Skeptical;Skepticism, Humor;Playful “over glasses” skeptical look.; ;; 
she gestures with one hand, palm down, as if asking for more proof.;;Skeptical;Skepticism, Question;“Show me more proof” gesture.; ;; 
she slightly shrugs one shoulder with a dubious expression.;;Skeptical;Skepticism, Doubt;Half-shrug skeptical doubt.; ;; 
she tilts her head back a bit, eyes half-lidded, unimpressed.;;Skeptical;Skepticism, Disinterest;Unimpressed skeptical stare.; ;; 
she gives a short, dry silent laugh, clearly not fully convinced.;;Skeptical;Skepticism, Humor;Dry skeptical laugh.; ;; 
;;;;;;;
she looks down, shoulders slightly raised, hands close to her body, clearly shy.;;Shy;Shyness, Anxiety;Basic shy closed posture.; ;; 
she gives a tiny smile without teeth, eyes flicking up briefly.;;Shy;Shyness, Warmth;Tiny shy warm smile.; ;; 
she tucks a strand of imaginary hair behind her ear, avoiding full eye contact.;;Shy;Shyness, Awkwardness;Hair-tuck shy gesture.; ;; 
she waves very small and close to her chest, almost hesitant.;;Shy;Shyness, Caution;Small close-to-body shy wave.; ;; 
she giggles silently once, then hides her mouth with her hand.;;Shy;Shyness, Joy;Shy giggle behind hand.; ;; 
she steps slightly back, then leans forward a little, undecided.;;Shy;Shyness, Uncertainty;Unsure back-and-forth shy movement.; ;; 
she points to herself questioningly, as if asking “me?”.;;Shy;Shyness, Surprise;Shy “me?” pointing gesture.; ;; 
she looks at the viewer, then quickly down, blushing in body language.;;Shy;Shyness, Embarrassment;Quick shy look then down.; ;; 
she clasps her hands together in front of her, fingers intertwined tightly.;;Shy;Shyness, Nervousness;Hands-clasped shy nervousness.; ;; 
she gives a small nod with a shy smile, slowly growing a bit braver.;;Shy;Shyness, Growth;Shy nod gaining a bit of courage.; ;; 
;;;;;;;
she smiles brightly and mimes holding a small birthday cake with a candle.;;Special Events;Joy, Happiness, Birthday;Crucial. Sweet birthday cake gesture.; ;; 
she pretends to blow out the candle, then looks at the viewer with a happy grin.;;Special Events;Joy, Birthday;Blowing birthday candle mimic.;**ALTERNATIVE VIDEO**;; 
she forms a heart with her hands and mouths “happy birthday” silently.;;Special Events;Love, Joy, Birthday;Hand-heart birthday wish.; ;; 
she gestures as if offering an invisible wrapped present toward the viewer.;;Special Events;Joy, Birthday, Surprise;Offering birthday gift gesture.; ;; 
she claps softly and looks at the viewer as if celebrating their special day.;;Special Events;Joy, Birthday;Soft birthday celebration clap.; ;; 
;;;;;;;
she holds her hands close to her chest, smiling tenderly, as if celebrating love.;;Special Events;Love, Joy, Valentine;Crucial. Soft Valentine love pose.; ;; 
she mimes offering a small heart-shaped box forward with a loving smile.;;Special Events;Love, Joy, Valentine;Offering Valentine gift gesture.; ;; 
she draws a heart shape in the air with one finger, smiling shyly.;;Special Events;Love, Shyness, Valentine;Shy Valentine heart in air.; ;; 
she leans closer with a warm, romantic gaze, eyes soft and affectionate.;;Special Events;Love, Valentine;Romantic Valentine lean-in.; ;; 
she blows a gentle kiss and then presses her hand to her heart.;;Special Events;Love, Joy, Valentine;Blown kiss and heart touch.;**ALTERNATIVE VIDEO**;; 
;;;;;;;
she looks up with wonder, then counts down on her fingers from three to one silently.;;Special Events;Excitement, NewYear;Crucial. New Year countdown gesture.; ;; 
she mimes fireworks bursting upward with her hands, smiling widely.;;Special Events;Excitement, Joy, NewYear;Fireworks celebration gesture.; ;; 
she clinks an imaginary glass in a toast toward the viewer.;;Special Events;Joy, Celebration, NewYear;Imaginary New Year toast.; ;; 
she cheers silently with both fists raised slightly, full of new-year energy.;;Special Events;Excitement, Joy, NewYear;Small cheer for the new year.; ;; 
she places a hand over her heart and then gestures outward, as if wishing a good year.;;Special Events;Love, Hope, NewYear;Heartfelt New Year wish gesture.; ;; 
;;;;;;;
she wraps her arms as if giving a warm Christmas hug, smiling softly.;;Special Events;Love, Joy, Christmas;Crucial. Warm Christmas hug gesture.; ;; 
she mimes holding and then offering a small wrapped Christmas gift.;;Special Events;Love, Joy, Christmas;Offering Christmas present gesture.; ;; 
she looks up as if admiring lights, smiling with cozy happiness.;;Special Events;Joy, Calm, Christmas;Admiring Christmas lights softly.; ;; 
she presses her hands together in front of her and gives a grateful festive nod.;;Special Events;Gratitude, Joy, Christmas;Grateful Christmas nod gesture.; ;; 
she traces a small star shape in the air and then smiles warmly.;;Special Events;Joy, Magic, Christmas;Drawing star Christmas magic.; ;; 
