DESCRIPTION;FILEPATH;CATEGORY;EMOTIONS;SHORT DESCRIPTION;ALTERNATIVE VIDEO;DURATION;
she hugs one arm across her body, protecting herself.;wounded_01.mp4;Hurt;Hurt, Vulnerability;Protective self-hug hurt posture.;;; 
she touches her chest lightly, expression pained and self-conscious.;hurting_inside_01.mp4;Hurt;Hurt, Vulnerability;Vulnerable ashamed chest touch.;;; 
;;;;;;;
she gazes off into the distance with a soft, wistful smile.;cherishing_memory.mp4;Nostalgic;Nostalgia, Sadness;Wistful distant nostalgic gaze.;;; 
she looks down at her open palm as if holding an old memory, then smiles sadly.;funny_moment_01.mp4;Nostalgic;Nostalgia, Bittersweet;Bittersweet memory-in-hand gesture.;;; 
she closes her eyes briefly, as if hearing an old familiar song.;old_memory_01.mp4;Nostalgic;Nostalgia, Calm;Eyes-closed remembering old times.;;; 
she glances up and to the side with a gentle, faraway expression.;softly_half_smiling_01.mp4;Nostalgic;Nostalgia;Looking away into the past.;;; 
she traces a small circle with her finger on the table absentmindedly.;tender_old_memory_01.mp4;Nostalgic;Nostalgia, Reflection;Absentminded nostalgic tracing.;;; 
she smiles faintly, eyes a little wet, from a tender old memory.;wistful_smile_01.mp4;Nostalgic;Nostalgia, Emotion;Emotional nostalgic faint smile.;;; 
;;;;;;;
she slowly rubs her eyes as if tired, then blinks heavily.;blinks_heavily_01.mp4;Tired;Tiredness;Rubbing eyes tired gesture.;;; 
she yawns silently, covering her mouth with the back of her hand.;fatigue_01.mp4;Tired;Tiredness;Silent covered yawn.;;; 
she rolls her shoulders back sluggishly, trying to wake herself up.;fighting_drowsiness_01.mp4;Tired;Tiredness, LowEnergy;Sluggish shoulder roll fatigue.;;; 
she blinks slowly several times, fighting drowsiness.;sluggishly_01.mp4;Tired;Tiredness;Slow blinking sleepy look.;;; 
she lets out a long, silent sigh, shoulders sagging.;yawns_silently_01.mp4;Tired;Tiredness, Resignation;Long sigh of exhaustion.;;; 
;;;;;;;
she looks from side to side as if searching for context.;clearly_confused_01.mp4;Confused;Confusion, Uncertainty;Looking around in confusion.;;; 
she opens her mouth slightly, then closes it, unsure what to say.;confused_01.mp4;Confused;Confusion, Hesitation;Hesitating, speechless confusion.;;; 
she gestures lightly with one hand, palm up, as if asking “what do you mean?”.;looks_side_to_side_01.mp4;Confused;Confusion, Question;Palm-up “what do you mean” gesture.;;; 
she leans closer to the camera with a puzzled expression, seeking clarification.;seeking_clarification_01.mp4;Confused;Confusion, Curiosity;Leaning-in to understand better.;;; 
;;;;;;;
she leans forward, eyebrows high, clearly impressed by what she sees.;impressed_01.mp4;Amazed;Amazement, Surprise;Impressed lean-in amazement.;;; 
she places a hand on her chest with an astonished smile.;incredible_01.mp4;Amazed;Amazement, Emotion;Touched amazement hand-to-chest.;;; 
she looks around as if the whole scene is incredible, smiling broadly.;inspired_01.mp4;Amazed;Amazement, Joy;Looking around in wide amazement.;;; 
;;;;;;;
she sits a bit straighter but looks around as if no one is there for her.;feeling_alone_01.mp4;Lonely;Loneliness, Sadness;Lonely, searching gaze.;;; 
she folds her arms lightly across her body, holding herself.;holding_herself_01.mp4;Lonely;Loneliness, Vulnerability;Lonely self-hug posture.;;; 
;;;;;;;
she narrows her eyes slightly, lips pressed, clearly skeptical.;clearly_skeptical_01.mp4;Skeptical;Skepticism;Basic skeptical narrowed-eye look.;;; 
she raises one eyebrow and tilts her head, unconvinced.;doubtful_scratch.mp4;Skeptical;Skepticism, Doubt;Raised-brow doubting expression.;;; 
she gestures with one hand, palm down, as if asking for more proof.;unimpressed_01.mp4;Skeptical;Skepticism, Question;“Show me more proof” gesture.;;; 
;;;;;;;
she looks down, shoulders slightly raised, hands close to her body, clearly shy.;almost_hesitant_01.mp4;Shy;Shyness, Anxiety;Basic shy closed posture.;;; 
she giggles silently once, then hides her mouth with her hand.;giggles_01.mp4;Shy;Shyness, Joy;Shy giggle behind hand.;;; 
she points to herself questioningly, as if asking “me?”.;tucks_strand_01.mp4;Shy;Shyness, Surprise;Shy “me?” pointing gesture.;;; 
;;;;;;;
she smiles brightly and mimes holding a small birthday cake with a candle.;blows_gentle_kiss_01.mp4;Special_Events;Joy, Happiness, Birthday;Crucial. Sweet birthday cake gesture.;;; 
she pretends to blow out the candle, then looks at the viewer with a happy grin.;cake_candle_01.mp4;Special_Events;Joy, Birthday;Blowing birthday candle mimic.;;; 
she forms a heart with her hands and mouths “happy birthday” silently.;celebrating_love_01.mp4;Special_Events;Love, Joy, Birthday;Hand-heart birthday wish.;;; 
she gestures as if offering an invisible wrapped present toward the viewer.;happy_grin_01.mp4;Special_Events;Joy, Birthday, Surprise;Offering birthday gift gesture.;;; 
she claps softly and looks at the viewer as if celebrating their special day.;heart_hands_01.mp4;Special_Events;Joy, Birthday;Soft birthday celebration clap.;;; 
she holds her hands close to her chest, smiling tenderly, as if celebrating love.;heart_shaped_box_01.mp4;Special_Events;Love, Joy, Valentine;Crucial. Soft Valentine love pose.;;; 
she mimes offering a small heart-shaped box forward with a loving smile.;blow_kiss_01.mp4;Special_Events;Love, Joy, Valentine;Offering Valentine gift gesture.;;; 
she leans closer with a warm, romantic gaze, eyes soft and affectionate.;wishing_good_year_01.mp4;Special_Events;Love, Valentine;Romantic Valentine lean-in.;;; 
she blows a gentle kiss and then presses her hand to her heart.;wraps_arms.mp4;Special_Events;Love, Joy, Valentine;Blown kiss and heart touch.;;; 
she looks up with wonder, then counts down on her fingers from three to one silently.;stars_01.mp4;Special_Events;Excitement, NewYear;Crucial. New Year countdown gesture.;;; 
she mimes fireworks bursting upward with her hands, smiling widely.;wish_01.mp4;Special_Events;Excitement, Joy, NewYear;Fireworks celebration gesture.;;; 
